Indicator Variable,Quarters_Required_Prior,Quarters_Required_Subsequent
Emp,1,0
EmpEnd,0,1
EmpS,1,1
EmpTotal,0,0
EmpSpv,2,0
HirA,1,0
HirAR,1,0
HirN,4,0
HirNR,4,0
HirR,4,0
HirRR,4,0
Sep,0,1
SepR,0,1
HirAEnd,1,1
HirAEndR,1,1
SepBeg,1,1
SepBegR,1,1
HirAEndRepl,1,1
HirAEndReplR,1,1
HirAEndR,1,1
SepBegR,1,1
HirAEndReplR,1,1
HirAS,2,1
HirASR,2,1
HirNS,5,1
HirNSR,5,1
SepS,2,1
SepSR,2,1
SepSnx,1,2
SepSnxR,1,2
TurnOvrS,2,2
TurnOvrSR,2,2
FrmJbGn,1,1
FrmJbGnR,1,1
FrmJbLs,1,1
FrmJbLsR,1,1
FrmJbC,1,1
FrmJbCR,1,1
FrmJbGnS,2,1
FrmJbGnSR,2,1
FrmJbLsS,2,1
FrmJbLsSR,2,1
FrmJbCS,2,1
FrmJbCSR,2,1
EarnS,1,1
EarnBeg,1,0
EarnHirAS,2,1
EarnHirNS,5,1
EarnSepS,1,2
Payroll,0,0
